electoral_district_number,electoral_district_name,electoral_district_name_fr
24045,Louis-Saint-Laurent,Louis-Saint-Laurent
24046,Manicouagan,Manicouagan
24047,Mégantic--L'Érable,Mégantic--L'Érable
24048,Mirabel,Mirabel
24049,Montarville,Montarville
24050,Montcalm,Montcalm
24051,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup
24052,Mount Royal,Mont-Royal
24053,Notre-Dame-de-Grâce--Westmount,Notre-Dame-de-Grâce--Westmount
24054,Outremont,Outremont
24055,Papineau,Papineau
24056,Pierrefonds--Dollard,Pierrefonds--Dollard
24057,Pontiac,Pontiac
24058,Portneuf--Jacques-Cartier,Portneuf--Jacques-Cartier
24059,Québec,Québec
24060,Repentigny,Repentigny
24061,Richmond--Arthabaska,Richmond--Arthabaska
24062,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles
24063,Rivière-du-Nord,Rivière-du-Nord
24064,Rosemont--La Petite-Patrie,Rosemont--La Petite-Patrie
24065,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin
24066,Saint-Hyacinthe--Bagot,Saint-Hyacinthe--Bagot
24067,Saint-Jean,Saint-Jean
24068,Saint-Laurent,Saint-Laurent
24069,Saint-Léonard--Saint-Michel,Saint-Léonard--Saint-Michel
24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain
24071,Salaberry--Suroît,Salaberry--Suroît
24072,Shefford,Shefford
24073,Sherbrooke,Sherbrooke
24074,Vaudreuil--Soulanges,Vaudreuil--Soulanges
24075,Terrebonne,Terrebonne
24076,Trois-Rivières,Trois-Rivières
24077,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs
24078,Vimy,Vimy
35001,Ajax,Ajax
35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing
35003,Aurora--Oak Ridges--Richmond Hill,Aurora--Oak Ridges--Richmond Hill
35004,Barrie--Innisfil,Barrie--Innisfil
35005,Barrie--Springwater--Oro-Medonte,Barrie--Springwater--Oro-Medonte
35006,Bay of Quinte,Baie de Quinte
35007,Beaches--East York,Beaches--East York
35008,Brampton Centre,Brampton-Centre
35009,Brampton East,Brampton-Est
35010,Brampton North,Brampton-Nord
35011,Brampton South,Brampton-Sud
35012,Brampton West,Brampton-Ouest
35013,Brantford--Brant,Brantford--Brant
35014,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound
35015,Burlington,Burlington
